amplitude,n,type,MSE,MAPE
0.01,36,abstract,0.1441994149511952,44.214777691524596
0.01,36,classical,inf,inf
0.01,37,abstract,0.14407213462650487,44.2234625105062
0.01,37,classical,inf,inf
0.01,38,abstract,0.1438604122946271,44.215353767486434
0.01,38,classical,inf,inf
0.01,39,abstract,0.14410173073437843,44.21651733935263
0.01,39,classical,inf,inf
0.01,40,abstract,0.14424852943059466,44.22049575571816
0.01,40,classical,inf,inf
0.01,41,abstract,0.14399168175711075,44.21963001525417
0.01,41,classical,inf,inf
0.01,42,abstract,0.14387205579162007,44.22134106839245
0.01,42,classical,inf,inf
0.01,43,abstract,0.14420268695389124,44.22447966887656
0.01,43,classical,inf,inf
0.01,44,abstract,0.14397967836044964,44.22569081970937
0.01,44,classical,inf,inf
0.01,45,abstract,0.1442455018862769,44.21770719494742
0.01,45,classical,inf,inf
0.01,46,abstract,0.14391720396178126,44.215174974347015
0.01,46,classical,inf,inf
0.01,47,abstract,0.14428396740806906,44.22236363179074
0.01,47,classical,inf,inf
0.01,48,abstract,0.1437495212173018,44.22452667521981
0.01,48,classical,inf,inf
0.01,49,abstract,0.1439417692154967,44.219429444720916
0.01,49,classical,inf,inf
0.01,50,abstract,0.14408049478248658,44.226839143601005
0.01,50,classical,inf,inf
0.01,51,abstract,0.1443094217506488,44.21131731799625
0.01,51,classical,inf,inf
0.01,52,abstract,0.1440041434417803,44.231252980531885
0.01,52,classical,inf,inf
0.01,53,abstract,0.1438925337306791,44.2151427788498
0.01,53,classical,inf,inf
0.01,54,abstract,0.14391085863892997,44.22225408919885
0.01,54,classical,inf,inf
0.01,55,abstract,0.14396569453909175,44.21847442190307
0.01,55,classical,inf,inf
0.01,56,abstract,0.14388897363188075,44.223557216827245
0.01,56,classical,inf,inf
0.01,57,abstract,0.14390238773869715,44.21627583010203
0.01,57,classical,inf,inf
0.01,58,abstract,0.1439907134381678,44.22075278741557
0.01,58,classical,inf,inf
0.01,59,abstract,0.14396380812133855,44.21981768388433
0.01,59,classical,inf,inf
0.01,60,abstract,0.1442376380592255,44.22835598513822
0.01,60,classical,inf,inf
0.01,61,abstract,0.14413677262796637,44.229381281209925
0.01,61,classical,inf,inf
0.01,62,abstract,0.14407125341133928,44.22431903238399
0.01,62,classical,inf,inf
0.01,63,abstract,0.14385424333675562,44.22727775769693
0.01,63,classical,inf,inf
0.01,64,abstract,0.1437113194503624,44.21707279395795
0.01,64,classical,inf,inf
0.01,65,abstract,0.14402753860820927,44.22127728675544
0.01,65,classical,inf,inf
0.01,66,abstract,0.1439933019530863,44.22428837765947
0.01,66,classical,inf,inf
0.01,67,abstract,0.1440377243421777,44.21079618637115
0.01,67,classical,inf,inf
0.01,68,abstract,0.14429652404725,44.21961609992582
0.01,68,classical,inf,inf
0.01,69,abstract,0.14401923278475756,44.221398157902115
0.01,69,classical,inf,inf
0.01,70,abstract,0.14423498846728497,44.21656476731137
0.01,70,classical,inf,inf
0.01,71,abstract,0.14404394822711977,44.220845759300886
0.01,71,classical,inf,inf
