amplitude,n,type,MSE,MAPE
0.0,27,abstract,0.16865928773660557,106.02119591024002
0.0,27,classical,0.26513728383107243,134.44803385413522
0.0,28,abstract,0.16865928773660557,106.02119591024002
0.0,28,classical,0.26513728383107243,134.44803385413522
0.0,29,abstract,0.16865928773660557,106.02119591024002
0.0,29,classical,0.26513728383107243,134.44803385413522
0.0,30,abstract,0.16865928773660557,106.02119591024002
0.0,30,classical,0.26513728383107243,134.44803385413522
0.0,31,abstract,0.16865928773660557,106.02119591024002
0.0,31,classical,0.26513728383107243,134.44803385413522
0.0,32,abstract,0.16865928773660557,106.02119591024002
0.0,32,classical,0.26513728383107243,134.44803385413522
0.0,33,abstract,0.16865928773660557,106.02119591024002
0.0,33,classical,0.26513728383107243,134.44803385413522
0.0,34,abstract,0.16865928773660557,106.02119591024002
0.0,34,classical,0.26513728383107243,134.44803385413522
0.0,35,abstract,0.16865928773660557,106.02119591024002
0.0,35,classical,0.26513728383107243,134.44803385413522
0.0,36,abstract,0.16865928773660557,106.02119591024002
0.0,36,classical,0.26513728383107243,134.44803385413522
0.0,37,abstract,0.16865928773660557,106.02119591024002
0.0,37,classical,0.26513728383107243,134.44803385413522
0.0,38,abstract,0.16865928773660557,106.02119591024002
0.0,38,classical,0.26513728383107243,134.44803385413522
0.0,39,abstract,0.16865928773660557,106.02119591024002
0.0,39,classical,0.26513728383107243,134.44803385413522
0.0,40,abstract,0.16865928773660557,106.02119591024002
0.0,40,classical,0.26513728383107243,134.44803385413522
0.0,41,abstract,0.16865928773660557,106.02119591024002
0.0,41,classical,0.26513728383107243,134.44803385413522
0.0,42,abstract,0.16865928773660557,106.02119591024002
0.0,42,classical,0.26513728383107243,134.44803385413522
0.0,43,abstract,0.16865928773660557,106.02119591024002
0.0,43,classical,0.26513728383107243,134.44803385413522
0.0,44,abstract,0.16865928773660557,106.02119591024002
0.0,44,classical,0.26513728383107243,134.44803385413522
0.0,45,abstract,0.16865928773660557,106.02119591024002
0.0,45,classical,0.26513728383107243,134.44803385413522
0.0,46,abstract,0.16865928773660557,106.02119591024002
0.0,46,classical,0.26513728383107243,134.44803385413522
0.0,47,abstract,0.16865928773660557,106.02119591024002
0.0,47,classical,0.26513728383107243,134.44803385413522
0.0,48,abstract,0.16865928773660557,106.02119591024002
0.0,48,classical,0.26513728383107243,134.44803385413522
0.0,49,abstract,0.16865928773660557,106.02119591024002
0.0,49,classical,0.26513728383107243,134.44803385413522
0.0,50,abstract,0.16865928773660557,106.02119591024002
0.0,50,classical,0.26513728383107243,134.44803385413522
0.0,51,abstract,0.16865928773660557,106.02119591024002
0.0,51,classical,0.26513728383107243,134.44803385413522
0.0,52,abstract,0.16865928773660557,106.02119591024002
0.0,52,classical,0.26513728383107243,134.44803385413522
0.0,53,abstract,0.16865928773660557,106.02119591024002
0.0,53,classical,0.26513728383107243,134.44803385413522
0.0,54,abstract,0.16865928773660557,106.02119591024002
0.0,54,classical,0.26513728383107243,134.44803385413522
0.0,55,abstract,0.16865928773660557,106.02119591024002
0.0,55,classical,0.26513728383107243,134.44803385413522
0.0,56,abstract,0.16865928773660557,106.02119591024002
0.0,56,classical,0.26513728383107243,134.44803385413522
0.0,57,abstract,0.16865928773660557,106.02119591024002
0.0,57,classical,0.26513728383107243,134.44803385413522
0.0,58,abstract,0.16865928773660557,106.02119591024002
0.0,58,classical,0.26513728383107243,134.44803385413522
0.0,59,abstract,0.16865928773660557,106.02119591024002
0.0,59,classical,0.26513728383107243,134.44803385413522
0.0,60,abstract,0.16865928773660557,106.02119591024002
0.0,60,classical,0.26513728383107243,134.44803385413522
0.0,61,abstract,0.16865928773660557,106.02119591024002
0.0,61,classical,0.26513728383107243,134.44803385413522
0.0,62,abstract,0.16865928773660557,106.02119591024002
0.0,62,classical,0.26513728383107243,134.44803385413522
0.0,63,abstract,0.16865928773660557,106.02119591024002
0.0,63,classical,0.26513728383107243,134.44803385413522
0.0,64,abstract,0.16865928773660557,106.02119591024002
0.0,64,classical,0.26513728383107243,134.44803385413522
0.0,65,abstract,0.16865928773660557,106.02119591024002
0.0,65,classical,0.26513728383107243,134.44803385413522
0.0,66,abstract,0.16865928773660557,106.02119591024002
0.0,66,classical,0.26513728383107243,134.44803385413522
0.0,67,abstract,0.16865928773660557,106.02119591024002
0.0,67,classical,0.26513728383107243,134.44803385413522
0.0,68,abstract,0.16865928773660557,106.02119591024002
0.0,68,classical,0.26513728383107243,134.44803385413522
0.0,69,abstract,0.16865928773660557,106.02119591024002
0.0,69,classical,0.26513728383107243,134.44803385413522
0.0,70,abstract,0.16865928773660557,106.02119591024002
0.0,70,classical,0.26513728383107243,134.44803385413522
0.0,71,abstract,0.16865928773660557,106.02119591024002
0.0,71,classical,0.26513728383107243,134.44803385413522
0.0,72,abstract,0.16865928773660557,106.02119591024002
0.0,72,classical,0.26513728383107243,134.44803385413522
0.0,73,abstract,0.16865928773660557,106.02119591024002
0.0,73,classical,0.26513728383107243,134.44803385413522
0.0,74,abstract,0.16865928773660557,106.02119591024002
0.0,74,classical,0.26513728383107243,134.44803385413522
0.0,75,abstract,0.16865928773660557,106.02119591024002
0.0,75,classical,0.26513728383107243,134.44803385413522
0.0,76,abstract,0.16865928773660557,106.02119591024002
0.0,76,classical,0.26513728383107243,134.44803385413522
0.0,77,abstract,0.16865928773660557,106.02119591024002
0.0,77,classical,0.26513728383107243,134.44803385413522
0.0,78,abstract,0.16865928773660557,106.02119591024002
0.0,78,classical,0.26513728383107243,134.44803385413522
0.0,79,abstract,0.16865928773660557,106.02119591024002
0.0,79,classical,0.26513728383107243,134.44803385413522
0.0,80,abstract,0.16865928773660557,106.02119591024002
0.0,80,classical,0.26513728383107243,134.44803385413522
0.0,81,abstract,0.16865928773660557,106.02119591024002
0.0,81,classical,0.26513728383107243,134.44803385413522
0.0,82,abstract,0.16865928773660557,106.02119591024002
0.0,82,classical,0.26513728383107243,134.44803385413522
